2024-12-16T13:46:31+01:00, 16.1.32.137, inaccessible, ret=1
2024-12-16T13:46:44+01:00, 16.1.32.138, inaccessible, ret=1
2024-12-16T13:46:57+01:00, 16.1.32.139, inaccessible, ret=1
2024-12-16T13:47:10+01:00, 16.1.32.140, inaccessible, ret=1
2024-12-16T13:47:23+01:00, 16.1.32.141, inaccessible, ret=1
2024-12-16T13:47:36+01:00, 16.1.32.142, inaccessible, ret=1
2024-12-16T13:47:49+01:00, 16.1.32.143, inaccessible, ret=1
2024-12-16T13:48:02+01:00, 16.1.32.144, inaccessible, ret=1
2024-12-16T13:48:15+01:00, 16.1.32.146, accessible, ret=0
2024-12-16T13:48:25+01:00, 16.1.32.148, inaccessible, ret=1
2024-12-16T13:48:38+01:00, 16.1.32.149, inaccessible, ret=1
2024-12-16T13:48:51+01:00, 16.1.32.153, inaccessible, ret=1
2024-12-16T13:49:04+01:00, 16.1.32.157, accessible, ret=0
2024-12-16T13:49:14+01:00, 16.1.32.161, inaccessible, ret=1
2024-12-16T13:49:27+01:00, 16.1.32.163, inaccessible, ret=1
2024-12-16T13:49:42+01:00, 16.1.32.165, inaccessible, ret=1
2024-12-16T13:49:55+01:00, 16.1.32.166, inaccessible, ret=1
2024-12-16T13:50:08+01:00, 16.1.32.170, accessible, ret=0
2024-12-16T13:50:18+01:00, 16.1.32.171, inaccessible, ret=1
2024-12-16T13:50:31+01:00, 16.1.32.172, inaccessible, ret=1
2024-12-16T13:50:46+01:00, 16.1.32.173, inaccessible, ret=1
2024-12-16T13:51:01+01:00, 16.1.32.179, inaccessible, ret=1
2024-12-16T13:51:14+01:00, 16.1.32.180, inaccessible, ret=1
2024-12-16T13:51:27+01:00, 16.1.32.186, accessible, ret=0
2024-12-16T13:51:37+01:00, 16.1.32.187, accessible, ret=0
2024-12-16T13:51:47+01:00, 16.1.32.200, inaccessible, ret=1
2024-12-16T13:52:02+01:00, 16.1.32.221, inaccessible, ret=1
2024-12-16T13:52:17+01:00, 16.1.32.222, inaccessible, ret=1
2024-12-16T13:52:30+01:00, 16.1.32.223, inaccessible, ret=1
2024-12-16T14:22:45+01:00, 16.1.32.132, accessible, ret=0
2024-12-16T14:22:55+01:00, 16.1.32.133, accessible, ret=0
2024-12-16T14:23:05+01:00, 16.1.32.134, inaccessible, ret=1
2024-12-16T14:23:18+01:00, 16.1.32.135, accessible, ret=0
2024-12-16T14:23:28+01:00, 16.1.32.136, inaccessible, ret=1
2024-12-16T14:23:42+01:00, 16.1.32.137, inaccessible, ret=1
2024-12-16T14:23:55+01:00, 16.1.32.138, inaccessible, ret=1
2024-12-16T14:24:08+01:00, 16.1.32.139, inaccessible, ret=1
2024-12-16T14:24:20+01:00, 16.1.32.140, inaccessible, ret=1
2024-12-16T14:24:33+01:00, 16.1.32.141, inaccessible, ret=1
2024-12-16T14:24:46+01:00, 16.1.32.142, inaccessible, ret=1
2024-12-16T14:24:59+01:00, 16.1.32.143, inaccessible, ret=1
2024-12-16T14:25:12+01:00, 16.1.32.144, inaccessible, ret=1
2024-12-16T14:25:25+01:00, 16.1.32.146, accessible, ret=0
2024-12-16T14:25:35+01:00, 16.1.32.148, inaccessible, ret=1
2024-12-16T14:25:48+01:00, 16.1.32.149, inaccessible, ret=1
2024-12-16T14:26:01+01:00, 16.1.32.153, inaccessible, ret=1
2024-12-16T14:26:14+01:00, 16.1.32.157, accessible, ret=0
2024-12-16T14:26:24+01:00, 16.1.32.161, inaccessible, ret=1
2024-12-16T14:26:37+01:00, 16.1.32.163, inaccessible, ret=1
2024-12-16T14:26:52+01:00, 16.1.32.165, inaccessible, ret=1
2024-12-16T14:27:05+01:00, 16.1.32.166, inaccessible, ret=1
2024-12-16T14:27:18+01:00, 16.1.32.170, accessible, ret=0
2024-12-16T14:27:28+01:00, 16.1.32.171, inaccessible, ret=1
2024-12-16T15:39:20+01:00, 16.1.32.143, inaccessible, ret=1
2024-12-16T15:39:33+01:00, 16.1.32.144, inaccessible, ret=1
2024-12-16T15:39:46+01:00, 16.1.32.146, accessible, ret=0
2024-12-16T15:39:56+01:00, 16.1.32.148, inaccessible, ret=1
2024-12-16T15:40:09+01:00, 16.1.32.149, inaccessible, ret=1
2024-12-16T15:40:23+01:00, 16.1.32.153, inaccessible, ret=1
2024-12-16T15:40:36+01:00, 16.1.32.157, accessible, ret=0
2024-12-16T15:40:46+01:00, 16.1.32.161, inaccessible, ret=1
2024-12-16T15:40:59+01:00, 16.1.32.163, inaccessible, ret=1
2024-12-16T15:41:14+01:00, 16.1.32.165, inaccessible, ret=1
2024-12-16T15:41:27+01:00, 16.1.32.166, inaccessible, ret=1
2024-12-16T15:41:40+01:00, 16.1.32.170, accessible, ret=0
2024-12-16T15:41:50+01:00, 16.1.32.171, inaccessible, ret=1
2024-12-16T15:42:03+01:00, 16.1.32.172, inaccessible, ret=1
2024-12-16T15:42:18+01:00, 16.1.32.173, inaccessible, ret=1
2024-12-16T15:42:33+01:00, 16.1.32.179, inaccessible, ret=1
2024-12-16T15:42:46+01:00, 16.1.32.180, inaccessible, ret=1
2024-12-16T15:42:59+01:00, 16.1.32.186, accessible, ret=0
2024-12-16T15:43:09+01:00, 16.1.32.187, accessible, ret=0
2024-12-16T15:43:19+01:00, 16.1.32.200, inaccessible, ret=1
2024-12-16T15:43:34+01:00, 16.1.32.221, inaccessible, ret=1
2024-12-16T15:43:49+01:00, 16.1.32.222, inaccessible, ret=1
